StartTime, FinishTime, Word, Confidence 
4.44,4.87,According,1.0,,
4.87,5.01,to,1.0,,
5.01,5.33,recent,1.0,,
5.33,6.03,research,0.9992,,
6.04,7.28,80%,0.9077999999999999,,
7.29,7.45,of,1.0,,
7.45,7.82,leaders,0.9868,,
7.82,8.45,today,1.0,,
8.72,9.2,failed,0.8856,,
9.2,9.31,to,1.0,,
9.31,9.97,impress,1.0,,
9.98,10.11,in,1.0,,
10.11,10.2,the,1.0,,
10.2,10.62,1st,1.0,,
10.62,10.78,2,1.0,,
10.78,11.35,years,1.0,,
11.66,11.9,Their,0.7928,,
11.9,12.33,leadership,1.0,,
12.34,12.95,roles,0.9974,,
13.64,14.79,70%,0.99505,,
14.8,15.27,admit,0.9992,,
15.27,15.36,to,1.0,,
15.36,15.55,being,0.7208,,
15.55,15.97,incredibly,1.0,,
15.97,16.55,stressed,1.0,,
16.92,17.32,Over,1.0,,
17.32,18.45,70%,0.99455,,
18.95,19.65,admit,1.0,,
20.1,20.35,to,0.9966,,
20.35,20.52,not,1.0,,
20.52,20.86,enjoying,0.971,,
20.86,20.96,the,0.995,,
20.96,21.35,job,1.0,,
22.63,22.93,Gone,1.0,,
22.93,22.99,are,1.0,,
22.99,23.08,the,1.0,,
23.08,23.52,days,1.0,,
23.52,23.69,when,1.0,,
23.69,23.78,we,1.0,,
23.78,23.94,used,1.0,,
23.94,24.0,to,1.0,,
24.0,24.1,have,1.0,,
24.1,24.18,a,1.0,,
24.18,24.42,job,1.0,,
24.42,24.62,for,1.0,,
24.62,25.12,life,1.0,,
25.13,25.54,Today,1.0,,
25.54,25.95,people,1.0,,
25.95,26.44,stay,1.0,,
26.44,26.52,in,1.0,,
26.52,26.61,a,1.0,,
26.61,26.82,job,1.0,,
26.82,26.93,for,1.0,,
26.93,27.2,four,1.0,,
27.2,27.77,years,1.0,,
28.77,28.86,and,0.6249,,
28.86,29.08,within,0.9992,,
29.08,29.16,the,1.0,,
29.16,29.67,millennials,0.8086,,
29.67,29.84,That's,0.9865,,
29.84,30.03,only,1.0,,
30.03,30.34,three,1.0,,
30.34,30.86,years,1.0,,
31.94,32.13,When,1.0,,
32.13,32.32,I,1.0,,
32.49,32.87,saw,1.0,,
32.87,33.11,those,1.0,,
33.11,33.68,statistics,1.0,,
33.68,33.72,I,1.0,,
33.72,33.82,was,1.0,,
33.83,34.5,terrified,1.0,,
34.5,34.59,I'm,1.0,,
34.59,34.69,in,1.0,,
34.69,34.75,the,1.0,,
34.75,35.13,middle,1.0,,
35.13,35.22,of,1.0,,
35.22,35.41,my,1.0,,
35.41,35.96,career,1.0,,
36.94,37.08,but,1.0,,
37.08,37.21,that,1.0,,
37.21,37.46,doesn't,1.0,,
37.46,37.65,mean,1.0,,
37.65,37.76,that,1.0,,
37.76,38.08,great,0.9961,,
38.08,38.6,leadership,1.0,,
38.6,38.79,isn't,0.9987,,
38.8,39.27,around,1.0,,
39.27,39.42,us,1.0,,
39.42,39.57,It's,0.9993,,
39.57,39.75,all,1.0,,
39.75,40.07,around,1.0,,
40.07,40.35,us,0.9998,,
42.44,43.05,So,1.0,,
43.84,44.01,I've,0.9989,,
44.01,44.39,been,1.0,,
44.4,44.78,writing,1.0,,
44.78,44.85,a,1.0,,
44.85,45.28,book,1.0,,
45.29,46.0,about,1.0,,
46.01,47.03,leadership,1.0,,
47.37,47.85,about,1.0,,
47.86,48.26,emotional,0.9869,,
48.26,48.72,intelligence,1.0,,
48.72,48.98,trying,1.0,,
48.98,49.09,to,1.0,,
49.09,49.76,find,1.0,,
49.93,50.3,what,1.0,,
50.3,50.75,the,1.0,,
50.76,51.19,common,1.0,,
51.19,51.78,denominator,1.0,,
51.78,51.89,the,1.0,,
51.89,52.21,X,0.9975,,
52.21,52.6,factor,1.0,,
52.6,52.71,of,0.9995,,
52.71,52.95,great,1.0,,
52.95,53.38,leadership,1.0,,
53.38,53.67,is,1.0,,
